STN,LON,LAT,HT
90,128.56472,38.25085,18.06
92,128.66298,38.05903,75.4
95,127.3042,38.14787,155.48
96,131.86983,37.23952,96.15
98,127.06069,37.90186,109.06
99,126.7625,37.8844,29.42
100,128.71834,37.67713,772.43
101,127.7357,37.90256,77.71
102,124.63046,37.96611,144.86
104,128.85535,37.80456,75.24
105,128.89099,37.75147,27.12
106,129.12433,37.50708,39.91
108,126.9658,37.57142,85.67
110,126.7756,37.5683,11.38
112,126.62436,37.47759,68.15
113,126.4392,37.4625,7.1
114,127.94659,37.33749,150.11
115,130.89863,37.48129,221.14
116,126.96402,37.44526,624.82
119,126.983,37.25746,39.81
121,128.45743,37.18126,240.54
127,127.9525,36.97045,114.85
129,126.4939,36.77658,25.25
130,129.41278,36.99176,48.98
131,127.44066,36.63924,57.16
133,127.3721,36.37199,67.79
135,127.99457,36.22023,244.73
136,128.70732,36.57293,140.1
137,128.15741,36.40837,96.58
138,129.37963,36.03259,2.28
140,126.76135,36.0053,23.2
143,128.61903,35.88515,64.08
146,127.11718,35.84092,60.44
151,129.35222222,35.59333333,12.6
152,129.32026,35.56014,34.57
155,128.57282,35.17019,34.97
156,126.89156,35.17294,70.28
159,129.03203,35.10468,69.56
160,128.99995,35.11882,512.0
162,128.4356,34.84546,32.3
163,126.38305555,34.99138888,10.9
165,126.38121,34.81689,38.0
167,127.6125,34.84666667,17.9
168,127.74063,34.73929,65.93
169,125.45103,34.68719,76.49
170,126.70182,34.3959,35.37
172,126.599,35.34824,52.42
174,127.3694,35.0204,165.0
175,126.3238,34.47211,478.51
182,126.5,33.51666667,26.5
184,126.52968,33.51411,20.45
185,126.16283,33.29382,71.39
188,126.8802,33.38677,20.34
189,126.5653,33.24616,51.86
192,128.04002,35.16379,30.21
201,126.44634,37.70739,47.84
202,127.49446,37.48863,47.26
203,127.4842,37.26398,78.01
211,128.16714,38.05986,201.78
212,127.88043,37.6836,140.2
216,128.98928,37.17031,712.82
217,128.6459,37.38149,307.58
221,128.19431,37.15927,263.61
226,127.73415,36.48761,171.31
229,125.55951,36.62542,103.56
232,127.12126805,36.77962166,21.3
235,126.55741,36.32721,15.49
236,126.92079,36.27242,13.42
238,127.48175,36.10562,170.35
243,126.71655,35.72954,11.96
244,127.28556,35.61203,247.04
245,126.83904,35.56337,68.7
247,127.33303,35.40536,90.29
248,127.52029,35.65695,406.49
251,126.697,35.4266,54.0
252,126.47779,35.283671,37.2
253,128.89075,35.22981,54.59
254,127.1286,35.37131,129.38
255,128.6725,35.2264,48.8
256,127.23911,35.075,74.63
257,129.02,35.3072,14.85
258,127.21226,34.76335,1.41
259,126.76715,34.6289,9.95
260,126.91949,34.68875,45.02
261,126.56897,34.55359,13.01
262,127.27571,34.61824,53.12
263,128.2881,35.3226,14.18
264,127.74538,35.51138,152.07
266,127.691,34.943,80.9
271,128.91449,36.94361,324.67
272,128.51687,36.87183,211.32
273,128.14877,36.62727,170.61
276,129.04005,36.4351,208.65
277,129.40926,36.53337,40.71
278,128.68863,36.35611,81.81
279,128.32054,36.13055,48.88
281,128.9514,35.97742,96.12
283,129.2009,35.8174,40.13
284,127.909,35.6674,225.95
285,128.16986,35.56503,32.0
288,128.7441,35.49148,11.21
289,127.8791,35.41299,138.07
294,128.60453,34.88818,46.27
295,127.92641,34.81662,45.71
300,126.31507,35.85799,44.18
301,126.11638,35.09511,9.0
302,126.1592,34.6647,19.0
303,125.09722,34.0725,97.84
304,126.84849,34.31801,25.41
305,126.92009,33.98622,34.96
306,127.80083,34.9525,5.0
307,127.44957,34.24365,38.49
310,129.26472,37.32471,14.07
311,128.0867,35.78919,595.71
312,129.14128,36.39314,262.19
313,128.74127,34.88208,70.0
314,127.74312,35.86621,1518.32
315,127.51079,35.30673,1087.86
316,126.99743,35.11437,911.82
317,127.11418,35.72951,105.92
318,128.6704,37.6434,770.0
319,130.87084,37.53726,58.05
320,128.31372,38.33101,1262.62
321,128.1963,38.1147,253.72
322,127.66263,38.20067,223.0
323,127.52551,38.27268,276.0
324,128.07446,36.91019,155.91
325,128.02526,37.14449,231.26
326,127.58304,37.54531,197.28
327,127.512,36.65026,127.11
328,126.39838,33.2505,61.0
329,126.56521,33.44711,378.48
330,126.64947,33.50081,144.41
351,126.9768,37.8978,126.71
352,126.9436,37.7156,163.0
353,127.0683,37.8414,88.0
354,127.06234,36.9652,37.0
355,127.0364,37.1136,39.0
356,127.0183,37.0481,32.0
357,126.9817,37.0133,26.0
358,126.9214,36.9672,35.0
359,127.1592,37.8542,114.0
360,127.2283,37.7861,119.0
361,127.2447,38.0053,85.0
362,127.1062,37.3973,76.0
364,127.1189,37.3828,61.0
365,126.89514,37.40925,30.13
367,126.7844,37.4061,26.0
368,127.15029,37.59924,36.85
369,126.9169,37.3642,124.0
370,127.25,37.1789,241.0
371,127.1164,37.2772,121.0
372,127.0267,37.8722,108.0
373,127.0458,37.7706,163.0
374,126.9706,37.0467,50.4
375,126.9875,37.7919,150.0
400,127.04671,37.5134,59.24
401,127.02601,37.48462,33.05
402,127.14498,37.55552,54.5
403,127.0967,37.51151,58.26
404,126.82953,37.5739,9.3
405,126.87937,37.52823,22.75
406,127.02947,37.66612,56.65
407,127.09192,37.62186,25.3
408,127.06036,37.58463,53.96
409,127.08682,37.58551,39.09
410,126.91746,37.4933,41.76
411,126.92915,37.55165,100.67
412,126.94078,37.57047,103.08
413,127.08566,37.5338,28.63
414,126.99944,37.61172,128.62
415,126.97611,37.52038,31.73
416,126.9426,37.64648,57.0
417,126.90016,37.46551,45.0
418,126.93904,37.52489,10.66
419,126.98736,37.55236,267.05
421,127.03885,37.54721,34.73
422,126.98437,37.60344,333.8
423,126.82629,37.49328,56.08
424,127.00981,37.63801,69.8
425,126.98154,37.46347,113.0
430,127.00971,37.27464,90.33
431,127.07179,37.74874,52.95
432,127.03786111,37.25511111,58.0
434,126.95685,37.39436,77.92
435,126.82119444,37.32430556,32.0
436,127.18927778,37.23138889,123.0
437,126.86531,37.47867,52.69
438,126.93534,37.36148,84.71
439,127.0357,37.20877,43.15
440,127.44063,37.27839,87.3
441,126.70472222,37.64683333,32.0
442,127.28566,37.43277,37.41
444,127.21367,37.53794,27.68
445,126.96884,37.34452,80.4
446,127.06373,37.14031,17.48
447,127.67685,37.32983,89.04
448,127.44299,37.40188,117.27
449,127.44809,37.51002,32.0
450,126.83336111,37.6555,50.0
451,127.15297222,37.61069444,34.0
452,127.22638,37.93408,95.19
453,126.89644,37.44205,15.28
454,127.06693,37.97426,70.71
455,127.50083,37.84598,71.8
456,127.07564,38.09632,73.31
457,127.19412,37.522,55.27
458,127.30578056,37.47469444,48.0
459,127.19675,37.34545,87.77
460,127.40541,37.36887,87.77
461,127.35799,37.24896,109.89
462,127.48022,37.17172,91.21
463,127.54805,37.33164,48.31
464,127.66095,37.20418,68.36
465,127.54506,37.20173,78.02
466,127.53435,37.38974,31.11
467,127.21575,37.09414,45.78
468,127.25925,36.94309,53.8
469,127.43374,37.14077,151.91
470,127.26962,37.08056,41.0
471,127.06491,37.06639,63.05
472,126.85475,36.9845,18.99
473,127.18613611,37.84861389,130.0
475,127.2512,38.15774,185.81
476,127.28831,37.90132,151.72
477,127.04395278,37.90553056,80.0
478,127.01279,38.05857,37.3
479,126.88427,37.98183,33.36
480,126.99289,38.04743,42.35
481,126.71624,37.80246,20.91
482,126.85124167,37.77626667,53.0
483,126.78706389,37.92596944,35.0
484,127.31645,37.64656,122.04
485,127.49483,37.67617,75.61
486,127.41448,37.73474,49.88
487,126.55229,37.64527,13.0
488,126.73004,37.21819,49.15
489,126.70881,37.16658,25.46
490,127.11,38.0244444,72.0
491,127.0208333,38.0822222,39.0
492,126.85136,37.41553,54.08
495,127.16254,36.98062,13.0
496,127.2688,36.4585,30.3
497,128.85145,37.57516,658.15
498,128.51447,37.87925,1015.08
499,127.0191,38.13586,54.66
500,126.4201,37.6317,29.0
501,125.69819,37.65891,7.63
502,126.28289,37.78436,41.91
503,126.7116,37.912,17.3
504,127.17636,37.86572,102.05
505,127.34543,37.82439,170.45
506,126.77693,37.74823,12.88
507,127.1433,38.025,80.0
508,126.36093,37.46649,140.91
509,126.95015,37.45284,141.64
510,126.90705,37.52706,25.38
511,126.6351,37.5675,7.13
512,126.66207,37.39684,9.06
513,126.14495,37.22721,20.02
514,126.5787,37.23767,10.0
515,126.800705,37.081856,19.0
516,127.25,37.0038,26.0
517,128.47449,38.38537,5.31
518,128.1211,38.26958,468.47
519,127.5194,38.07545,297.73
520,128.49327,38.17207,189.5
521,128.6026,38.14373,15.97
522,128.01891,37.86866,220.48
523,128.82138,37.89905,9.0
524,128.92477,37.78579,6.61
525,128.35893,37.62109,568.0
526,128.39461,37.37787,303.18
527,128.64126,37.21108,392.43
528,124.71241,37.97396,36.0
529,129.2858,37.1413,36.0
530,130.79773,37.51839,172.79
531,127.55022,37.88558,106.63
532,127.07349,37.73476,89.49
533,127.48073,37.32777,82.0
534,127.61058,37.121,88.2
535,128.18265,37.71701,312.87
536,127.97241,37.48761,110.52
537,128.84589,37.48323,488.08
538,127.10301,38.17254,82.18
539,127.35785278,38.02366389,139.4
540,126.8917,37.6343,100.0
541,127.14929,37.65293,27.79
542,127.38017,37.68414,41.96
543,126.54958,37.499,25.79
544,126.6544,37.18565,10.96
545,126.83848,37.28103,5.92
546,127.2592,37.43529,122.61
547,127.75488,37.41593,108.62
548,127.63955,37.26883,115.88
549,127.22178,37.27011,79.36
550,127.04873,37.18787,41.75
551,127.10879,36.98769,27.14
552,127.38937,38.23153,229.5
553,128.42813,38.49235,21.47
554,128.43712,38.21439,770.48
555,127.69062,38.08371,109.21
556,127.98527,38.09799,187.57
557,128.31388,37.9537,292.0
558,127.70066,37.68614,94.64
559,128.38979,37.77385,599.49
560,128.56447,37.64794,540.54
561,128.15275,37.58219,221.38
562,128.26942,37.27534,285.87
563,128.74056,37.26875,435.97
565,126.77795,37.39154,5.77
566,128.8192,37.85155,7.94
567,126.93176,37.95332,71.25
568,127.31345,37.95867,162.0
569,127.1569,37.5823,24.0
570,126.64233,37.6232,33.72
571,126.82094,37.19525,45.39
572,127.12476,37.42093,28.65
573,127.71064,37.55628,126.84
574,127.58653,37.37505,51.31
575,127.18765,37.10579,48.1
576,127.36632,37.12966,111.46
577,126.33654,37.53411,11.41
578,126.42,37.45,15.0
579,128.9129,37.3666,615.0
580,129.0288,37.6135,48.0
581,128.7742,37.1164,420.0
582,128.0799,37.2314,327.0
583,128.1551,37.4646,530.0
585,128.0742,37.95996,235.78
586,127.8769,38.03209,226.0
587,127.94949,38.20907,262.19
588,127.64289,37.79066,83.37
589,126.79026,37.70236,59.07
590,127.00249,37.44028,46.6
591,128.05047,37.41553,268.45
592,127.74866,37.23162,52.7
593,128.54069,38.00731,128.31
594,128.20849,38.21832,311.0
595,128.37401,38.26644,596.25
596,128.45102,38.07751,337.35
598,126.99048,37.83118,85.22
599,127.16977,37.76172,105.82
600,127.5897,36.9737,131.98
601,128.34687,37.00204,147.07
602,127.42974,36.85389,93.88
603,127.77758,36.81612,120.2
604,127.59654,36.29995,117.84
605,127.755,36.16,143.0
606,126.388,37.011,16.0
607,126.13541,36.67309,6.4
608,126.68156,36.7487,43.56
609,126.35183,36.34345,22.62
610,126.64439,36.59263,49.27
611,127.28056,36.56667,51.0
612,127.11138,36.46091,49.96
614,126.70411,36.06248,9.59
615,127.08527,36.22763,5.91
616,126.61739,36.88936,52.4
617,127.15609,36.87817,41.38
618,126.77905,36.42371,98.12
619,127.68454,36.94441,161.02
620,127.9035,37.0737,63.53
621,128.2142,36.9732,147.26
622,128.00791,36.83909,228.09
623,127.562,36.7956,74.72
624,127.6571,36.62436,224.25
625,127.81556,36.51639,325.0
626,127.81538,36.37052,122.63
627,126.29641,36.75851,41.94
628,126.81437,36.74213,38.84
629,127.19588,36.6814,80.43
630,127.78696,37.04198,116.55
631,126.61535,37.34775,9.74
632,126.94722,35.54056,57.67
633,127.09383,36.55114,75.76
634,126.86536,36.84578,29.5
635,126.86024,36.1319,10.73
636,127.24065,36.31318,131.99
637,126.80557,36.89376,19.5
638,128.4847,37.0847,175.0
639,128.14564,36.90433,282.85
640,127.86167,36.67106,221.34
641,127.52388,36.5461,79.12
642,127.40608,36.3105,77.27
643,127.49378,36.34019,91.34
644,127.2327,36.13854,56.43
645,126.51099,36.57887,16.9
646,126.54963,36.15296,21.3
647,127.68507,36.12474,118.4
648,127.43821,36.41347,99.9
649,126.75072,37.47223,25.91
650,127.27141,38.25091,187.0
651,127.16517,38.26399,201.62
652,127.07267,37.98998,38.29
654,126.30717,37.25457,18.81
655,124.72912,37.76024,83.0
656,126.19222,37.67085,14.75
657,126.50168,36.32448,24.0
658,126.12143,36.7683,10.0
659,127.2057,36.343,831.7
660,128.35,37.55,567.0
661,128.40191,38.54251,5.0
662,126.29695,37.17064,10.19
663,125.78691,36.92863,62.53
664,126.45838,37.22468,17.72
665,126.42521,37.39043,28.32
666,126.16832,36.95872,32.47
667,126.00929,36.64759,58.91
670,128.62954,38.08874,7.0
671,128.57608,38.1922,4.0
672,126.48834,35.44236,10.76
673,128.71748,35.28222,20.56
674,128.8214,37.2197,821.0
675,127.52769,37.78978,52.21
680,127.8441,38.21274,224.36
681,127.79064,38.0512,200.5
682,127.86251,38.28317,1062.0
690,127.1386,35.3362,98.86
691,126.95652,36.38617,23.83
692,126.91777778,38.02638889,38.0
693,127.44011,36.72319,65.97
694,126.60936,36.70435,677.32
695,127.43197,38.11619,1050.39
696,129.0861,37.3466,81.79
697,125.91828,34.25059,1.1
698,126.28509,35.09385,25.17
699,126.46108,34.98378,37.85
700,125.96818,36.12509,52.32
701,127.66835,36.00168,212.0
702,126.99252,35.93807,11.0
703,127.4374,35.7603,352.2
704,126.463,35.63506,11.23
706,126.97266,35.31021,44.67
707,126.20839,35.05796,34.31
708,126.74524,35.12886,29.91
709,127.46095,35.19734,32.3
710,126.74397,35.02504,7.82
711,126.98859,34.88786,84.02
712,127.48753,34.9506,28.07
713,127.5826,34.9751,10.87
714,126.02868,34.87909,1.96
715,126.2585,34.4731,5.4
716,126.03198,34.63066,2.58
717,126.3096,34.4274,12.0
718,126.0361,34.3328,7.0
719,126.3977,35.8088,11.45
720,126.5499,34.1549,27.12
721,127.0282,34.3391,1.38
722,126.92875,35.13681,110.87
723,127.30898,34.02792,6.7
724,126.29776,33.959,9.75
725,126.95335,33.50654,6.36
726,126.26731,33.11705,25.5
727,126.39293,33.40986,425.21
730,126.761,35.2794,38.2
731,126.68634,34.81665,2.2
732,127.09209,34.76192,145.53
733,126.8917,36.0461,49.12
734,127.1654,35.9064,43.0
735,127.77305,35.89424,658.0
736,126.784,35.84678,6.0
737,126.87765,35.80905,54.61
738,126.67388,35.57948,16.0
739,126.54668,35.52254,12.57
741,126.98414,35.05924,78.03
742,126.3306,34.9389,10.9
743,125.946,34.7734,8.0
744,126.4364,34.6725,1.0
745,126.7728,34.6352,20.12
746,126.5159,34.38184,8.82
747,126.85801,34.18292,24.76
748,127.3631,34.83694,1.6
749,127.12715,34.53471,24.96
750,127.62556,34.63079,35.71
751,126.70904,33.48209,251.09
752,126.30218,33.28503,143.5
753,126.49413,33.39208,968.28
754,126.5264,35.0602,11.0
755,127.08534,35.15959,187.32
756,126.2819,35.6015,17.0
757,127.436,35.9744,259.02
758,127.57117,35.83519,320.16
759,127.57825,35.37162,480.56
760,126.9327,35.42739,281.93
761,126.9346,35.6508,13.53
762,127.1261,35.5198,169.02
763,127.062,36.0592,38.0
764,127.1414,35.6736,218.9
765,127.17239,34.92931,129.58
766,127.71496,34.84946,78.86
767,127.4559,34.60202,14.51
768,127.28531,35.28886,100.48
769,126.3718,35.21793,15.21
770,126.82001,34.92863,99.0
771,126.12455,34.75607,33.09
772,126.34298,34.4906,43.2
773,126.57182,34.69926,16.9
774,126.50208,34.93083,17.84
775,126.63222,35.18008,51.65
776,126.55307,34.46671,21.83
777,126.93462,34.55633,37.1
