¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬(°∆C),√÷¿˙±‚ø¬(°∆C),√÷∞Ì±‚ø¬(°∆C),10∫– √÷¥Ÿ ∞≠ºˆ∑Æ(mm),1Ω√∞£ √÷¥Ÿ∞≠ºˆ∑Æ(mm),¿œ∞≠ºˆ∑Æ(mm),√÷¥Î º¯∞£ «≥º”(m/s),√÷¥Î «≥º”(m/s),∆Ú±’ «≥º”(m/s),√÷º“ ªÛ¥ÎΩ¿µµ(%),∆Ú±’ ªÛ¥ÎΩ¿µµ(%)
90,º”√ ,2021-01-01,-2.9,-7.7,1.2,,,,9.8,5.2,2.2,23,27.6
90,º”√ ,2021-01-02,-2.5,-6.3,1.5,,,,8.7,5,2.3,10,16.8
90,º”√ ,2021-01-03,-2.5,-5.8,.7,,,,12.5,7.3,3.6,14,19.4
90,º”√ ,2021-01-04,-.9,-4.2,3.2,,,,8.7,5.5,2.7,13,25.1
90,º”√ ,2021-01-05,-3.2,-7.3,.1,,,,12.4,5.7,2.5,13,29.6
90,º”√ ,2021-01-06,-5.9,-9.4,-2.2,,,,10.8,7.3,2.2,14,26.1
90,º”√ ,2021-01-07,-12.1,-14.8,-5.9,,,0,17.6,9,4.2,17,23.4
90,º”√ ,2021-01-08,-13,-16.1,-9,,,,11.2,5.4,2.5,18,24.1
90,º”√ ,2021-01-09,-10.2,-15.6,-5.3,,,,10.9,6.4,2.5,20,28.4
90,º”√ ,2021-01-10,-5.9,-12.6,-1.2,,,,8.6,4.8,1.9,24,31.6
90,º”√ ,2021-01-11,-4.4,-9.2,-.3,,,,7.7,4.3,1.5,21,32.4
90,º”√ ,2021-01-12,-.8,-4.8,2.5,,,,12.9,7.2,2.7,22,41.4
90,º”√ ,2021-01-13,5.7,-.8,9.3,,,,13.5,6.4,2.4,30,41.4
90,º”√ ,2021-01-14,2.8,-1.2,6,,,,10.9,5,1.8,12,35.5
90,º”√ ,2021-01-15,3.2,-1.2,7.8,,,0,12.1,6.4,2.6,33,68.1
90,º”√ ,2021-01-16,-.2,-5.3,4.8,,,,11.8,6.7,2.8,24,35.3
90,º”√ ,2021-01-17,-3.9,-7.1,-.2,,,,10.4,5.5,2.3,18,29.6
90,º”√ ,2021-01-18,-2.6,-6.9,2.5,,,0,13.1,6.5,2.6,19,42.3
90,º”√ ,2021-01-19,-6.1,-10.9,-1.6,,,,4.2,2.5,1.3,29,44.3
90,º”√ ,2021-01-20,1,-5.9,7.9,,,,4.3,2.8,1.2,23,40.1
90,º”√ ,2021-01-21,6.4,.3,9.7,,,0,10.6,4.1,1.5,34,65.4
90,º”√ ,2021-01-22,5,2.2,7.3,,,,5.6,3.4,1.6,74,87.6
90,º”√ ,2021-01-23,1.8,.9,4.9,,,,6.2,3.9,1.9,81,91.5
90,º”√ ,2021-01-24,3.5,1.9,5.6,,,,5,2.6,.9,77,84.5
90,º”√ ,2021-01-25,4.1,.5,7.9,,,,4.8,3,1.3,82,91.8
90,º”√ ,2021-01-26,5.3,3.4,8.5,,,0,8.5,4.5,1.4,38,77.6
90,º”√ ,2021-01-27,3.3,.3,6.7,,,,9.9,5.2,2,14,38.4
90,º”√ ,2021-01-28,-.5,-7.6,8.1,,,0,18.9,7.9,3.4,18,34.4
90,º”√ ,2021-01-29,-6.4,-9.7,-2.8,,,,16.8,8,3.7,14,21.5
90,º”√ ,2021-01-30,1.3,-7.9,5.1,,,,13.8,7.6,3.2,21,37.1
90,º”√ ,2021-01-31,2.8,-3.1,8.2,,,0,6.3,3.9,1.6,24,50.9
90,º”√ ,2021-02-01,7.7,2.6,13.7,,,0,14.2,5.7,2.7,13,46.9
90,º”√ ,2021-02-02,-2.7,-5.8,3.6,,,,15.9,8.1,3.7,13,20.3
90,º”√ ,2021-02-03,-2.2,-7.6,2,,,0,12.2,5.5,2.4,20,35.3
90,º”√ ,2021-02-04,.1,-2.8,2.9,,,0,12.3,5.4,2.7,14,28.9
90,º”√ ,2021-02-05,5.1,-.4,9.2,,,,12.3,6.8,3,22,38.5
90,º”√ ,2021-02-06,8.7,5.1,12.5,,,,10.8,5.4,2.5,33,47.8
90,º”√ ,2021-02-07,3.9,-.5,9.1,,,0,9.1,5.9,1.9,52,79.9
