latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.37363,129.05791,329.26,0.39,0.36,2026-05-01,0436,SNPP,SNPP,n,2.0NRT,299.23,3.85,D
35.09834,128.86424,334.89,0.39,0.36,2026-05-01,0436,SNPP,SNPP,n,2.0NRT,300.88,2.87,D
35.95227,127.00962,330.33,0.39,0.36,2026-05-01,0436,SNPP,SNPP,l,2.0NRT,304.07,2.3,D
36.22609,128.12894,346.64,0.39,0.36,2026-05-01,0436,SNPP,SNPP,n,2.0NRT,296.36,3.53,D
36.50787,127.70144,332.2,0.38,0.36,2026-05-01,0436,SNPP,SNPP,n,2.0NRT,296.22,4.24,D
35.64783,128.40691,335.19,0.39,0.36,2026-05-01,0436,SNPP,SNPP,n,2.0NRT,299.58,3.64,D
35.91192,128.62062,325.86,0.39,0.36,2026-05-01,0436,SNPP,SNPP,l,2.0NRT,300.11,2.18,D
37.41616,126.70677,330.3,0.39,0.36,2026-05-01,0438,SNPP,SNPP,l,2.0NRT,302.72,3.64,D
37.49078,126.64417,330.08,0.39,0.36,2026-05-01,0438,SNPP,SNPP,l,2.0NRT,303.09,1.47,D
37.81638,127.18655,341.32,0.38,0.36,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,309.65,13.06,D
36.86611,127.76374,336.42,0.38,0.36,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,295.42,2.81,D
36.98197,126.71116,336.29,0.39,0.36,2026-05-01,0438,SNPP,SNPP,l,2.0NRT,307.51,3.07,D
37.02687,128.32066,335.83,0.39,0.36,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,305.81,3.64,D
36.98526,126.71033,337.99,0.39,0.36,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,307.23,3.07,D
36.98582,126.69232,332.12,0.39,0.36,2026-05-01,0438,SNPP,SNPP,l,2.0NRT,305.04,2.29,D
37.16568,127.63344,339.81,0.38,0.36,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,303.06,2.68,D
37.4826,129.05191,330.99,0.4,0.37,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,303.85,4.01,D
37.48277,129.04855,333.9,0.4,0.37,2026-05-01,0438,SNPP,SNPP,n,2.0NRT,303.93,4.04,D
37.39834,126.70219,331.53,0.39,0.36,2026-05-01,0438,SNPP,SNPP,l,2.0NRT,304.41,4.52,D
35.99796,129.39857,303.9,0.57,0.43,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,279.74,1.76,N
35.49843,129.35229,295.97,0.56,0.43,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,281.85,0.73,N
35.09787,128.86232,302.79,0.39,0.44,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,278.19,0.62,N
36.97993,126.69193,298.86,0.54,0.51,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,276.71,1.53,N
37.59822,129.01326,304.7,0.41,0.45,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,287.18,0.88,N
37.59406,129.01268,306.62,0.41,0.45,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,284.55,0.88,N
37.48401,129.04987,317.3,0.41,0.45,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,290.72,2.22,N
37.48357,129.05434,311.33,0.41,0.45,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,286.83,1.64,N
37.47988,129.04913,299.05,0.41,0.45,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,285.31,0.77,N
37.42318,129.17413,309.91,0.4,0.44,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,285.08,1.15,N
37.01097,128.3398,295.93,0.44,0.46,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,272.73,0.72,N
36.98882,126.69924,297.24,0.54,0.51,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,275.59,1.18,N
36.98514,126.68638,295.16,0.54,0.51,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,275.09,1.53,N
36.98463,126.69254,307.33,0.54,0.51,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,276.88,1.53,N
36.98311,126.71099,307.11,0.54,0.51,2026-05-01,1658,SNPP,SNPP,n,2.0NRT,276.27,1.97,N
